date,tmax_celsius,tmean_celsius
2016-04-01,19.970440800984704,26.431314086914085
2016-04-02,21.088540649414085,26.73304138183596
2016-04-03,21.511667505900107,26.65101013183596
2016-04-04,18.930931981404626,23.990380859375023
2016-04-05,18.263699467976892,23.33533630371096
2016-04-06,13.219159062703454,16.606256103515648
2016-04-07,11.395181274414085,16.32544860839846
2016-04-08,13.075233713785849,18.504022216796898
2016-04-09,14.16048393249514,19.20557556152346
2016-04-10,16.340634282430017,21.881372070312523
2016-04-11,16.520727411905966,23.454446411132835
2016-04-12,17.464199956258142,24.157006835937523
2016-04-13,18.39123115539553,25.109780883789085
2016-04-14,19.19442202250167,25.771340942382835
2016-04-15,18.3809588114421,25.47846374511721
2016-04-16,18.656079864501976,25.402551269531273
2016-04-17,20.121584192911826,25.315957641601585
2016-04-18,19.325019454956077,25.198709106445335
2016-04-19,18.472331619262718,25.876336669921898
2016-04-20,19.742983754475915,25.787957763671898
2016-04-21,13.195219930013025,16.202294921875023
2016-04-22,16.545295333862327,23.236749267578148
2016-04-23,18.171065902709984,25.037591552734398
2016-04-24,17.290968195597372,23.674645996093773
2016-04-25,18.31486282348635,25.50586853027346
2016-04-26,18.066856638590536,25.306542968750023
2016-04-27,16.6458730061849,23.02912292480471
2016-04-28,17.37399571736654,24.082009887695335
2016-04-29,17.72056096394857,25.084252929687523
2016-04-30,15.231204605102562,21.91907653808596
2016-05-01,11.484155273437523,16.271783447265648
2016-05-02,13.980509058634482,20.678994750976585
2016-05-03,14.83898760477706,22.33820495605471
2016-05-04,12.284899648030603,20.030084228515648
2016-05-05,13.198683039347372,21.19513854980471
2016-05-06,14.477099355061853,21.64661560058596
2016-05-07,14.58318926493331,21.13300476074221
2016-05-08,12.846274312337243,16.111199951171898
2016-05-09,12.44190114339193,17.131829833984398
2016-05-10,13.245669301350915,18.539361572265648
2016-05-11,14.897190984090173,20.383050537109398
2016-05-12,15.818797047932946,21.655389404296898
2016-05-13,15.52299270629885,20.82001647949221
2016-05-14,11.588933563232445,14.07331237792971
2016-05-15,12.373382186889671,16.926110839843773
2016-05-16,12.65247751871749,17.43732604980471
2016-05-17,13.601258850097679,19.996499633789085
2016-05-18,12.93976745605471,19.245401000976585
2016-05-19,13.035944875081384,19.363092041015648
2016-05-20,12.494568125406943,18.828668212890648
2016-05-21,12.096222813924157,17.71460876464846
2016-05-22,12.376226679484091,19.024758911132835
2016-05-23,11.861944452921591,18.56855163574221
2016-05-24,11.434622065226279,18.16285095214846
2016-05-25,12.713712310791038,18.991021728515648
2016-05-26,10.917812601725302,15.470483398437523
2016-05-27,10.730088806152366,17.303994750976585
2016-05-28,10.927053705851279,17.93555603027346
2016-05-29,11.961212412516318,18.588739013671898
2016-05-30,11.570922470092796,18.713983154296898
2016-05-31,11.070474878946982,18.490625000000023
2016-06-01,10.713849004109704,18.062219238281273
2016-06-02,11.14258982340499,18.330407714843773
2016-06-03,11.039382553100609,18.651330566406273
