date,tmax_celsius,tmean_celsius
2020-01-01,20.717479324340843,26.046853637695335
2020-01-02,21.717601394653343,28.409219360351585
2020-01-03,22.093722915649437,28.378015136718773
2020-01-04,22.03172899882003,28.457055664062523
2020-01-05,21.39579861958822,26.360955810546898
2020-01-06,22.612442906697595,28.691003417968773
2020-01-07,20.81301078796389,24.412805175781273
2020-01-08,20.85506401062014,25.002984619140648
2020-01-09,20.967075602213583,25.643350219726585
2020-01-10,19.396498616536462,23.353265380859398
2020-01-11,18.009669876098656,21.072625732421898
2020-01-12,20.49431635538741,25.599771118164085
2020-01-13,19.073783493042015,24.11377868652346
2020-01-14,19.533959960937523,23.849465942382835
2020-01-15,19.94586079915365,25.03955993652346
2020-01-16,20.458819325764978,26.41462097167971
2020-01-17,20.87435429890951,26.629693603515648
2020-01-18,18.36777776082357,21.405923461914085
2020-01-19,19.14859542846682,24.21680603027346
2020-01-20,18.484778340657556,22.774453735351585
2020-01-21,18.948756790161156,24.788018798828148
2020-01-22,20.75777715047201,27.301477050781273
2020-01-23,20.24144070943197,27.59900817871096
2020-01-24,18.213693873087607,22.767007446289085
2020-01-25,18.619673029581747,23.12201843261721
2020-01-26,20.547437922159872,26.17963562011721
2020-01-27,20.456407801310263,26.56775817871096
2020-01-28,18.776731109619163,24.549279785156273
2020-01-29,20.66006240844729,27.273278808593773
2020-01-30,21.16996281941732,26.351129150390648
