Metric,Value
Study Period,2023-12-01 to 2024-02-29
Location,"Soweto, Johannesburg"
Days Analyzed,90
Mean Max Temperature (°C),26.1
Total Rainfall (mm),299.2
Rainy Days,46
Mean Dewpoint (°C),13.5
High-Risk Days,50
High-Risk Percentage,55.6%
